id,texto,emocion,texto_en2esp_marian
2936,i made you feel unimportant yet you never stopped to think how your actions and words were affecting me,sadness,Te hice sentir sin importancia pero nunca te detuviste a pensar cómo tus acciones y palabras me estaban afectando.
2937,i feel so horny just thinking about this,love,Me siento tan caliente sólo pensando en esto
2938,i feel delicious absolutely darling and delicious,joy,Me siento deliciosa absolutamente querida y deliciosa
2939,i do realize that this is a unique situation and is by no means representative of the majority of amazing birth moms out there who make hard decisions in the best interests of their children but i can t help but feel jaded by the experience,sadness,Me doy cuenta de que esta es una situación única y no es de ninguna manera representativa de la mayoría de las madres de nacimiento increíbles por ahí que toman decisiones difíciles en el mejor interés de sus hijos pero no puedo evitar sentirme irritado por la experiencia
2940,i feel so pissed off over an old friend and some friends,anger,Me siento tan enojado por un viejo amigo y algunos amigos
2941,im starting to feel like you my faithful reader are my wife or something ie the one i bitch to while everyone else gets to see the better angel of my nature haha,love,"Empiezo a sentir como tú mi fiel lector es mi esposa o algo así, es decir, el que yo perra a mientras que todos los demás llegan a ver el mejor ángel de mi naturaleza jaja"
2942,ive found my interest in s u waning and ive even come away from some portrayals of their relationship feeling dissatisfied,anger,He encontrado mi interés en s u menguar y ive incluso lejos de algunos retratos de su relación sintiéndose insatisfecho
2943,i feel no remorse about doing this it was unsuccessful and a learning process for me in the development of this blog,sadness,No siento remordimiento por hacer esto fue infructuoso y un proceso de aprendizaje para mí en el desarrollo de este blog
2944,i feel like a dirty heal and unconformable,sadness,Me siento como una cura sucia e inconformable
2945,i feel so lame and annoying and generally unliked sometimes,sadness,Me siento tan cojo y molesto y generalmente a veces a diferencia de
2946,i honestly feel we did a fantastic job,joy,Sinceramente siento que hicimos un trabajo fantástico.
2947,i highly recommend it if you want to feel totally amazing ab,joy,te lo recomiendo si quieres sentirte totalmente increíble ab
2948,i feel i am pretty smart raising three boys on my on and they are turning out to be great but my question myself and anyone who reads my blog whats wrong with be wiser,joy,Siento que soy muy inteligente criando a tres chicos en mi puesto y están resultando ser genial pero mi pregunta y cualquiera que lea mi blog ¿qué tiene de malo ser más sabio?
2949,i have written i feel suddenly hesitant to post it,fear,He escrito que de repente me siento reacio a publicarlo.
2950,i shy away from songs that talk about how i feel toward god or that maybe even talk about my faithful response toward god,love,Me rehuyo de las canciones que hablan de cómo me siento hacia Dios o que tal vez incluso hablar de mi respuesta fiel hacia Dios
2951,i get lots of praises i feel proud sometimes,joy,Tengo muchos elogios. A veces me siento orgulloso.
2952,i dont even know how to express how it made me feel these kids were so appreciative of the fact that we were coming there and it was very heavy to think that maybe our music gave them a little something to grasp on to,joy,Ni siquiera sé cómo expresar cómo me hizo sentir que estos chicos estaban tan agradecidos por el hecho de que llegáramos allí y era muy pesado pensar que tal vez nuestra música les dio un poco de algo que aferrarse a
2953,i simply cannot imagine me feeling cleaning caring for a baby,love,Simplemente no puedo imaginarme sintiendo limpieza cuidando a un bebé.
2954,i feel greedy with my self as of late,anger,Me siento codicioso con mi yo últimamente.
2955,im feeling bouncy enough and if i can rustle up some people keen to go with me,joy,Me siento lo suficientemente hinchado y si puedo arrullar a algunas personas deseosas de ir conmigo
2956,i feel reluctant to sell but hey,fear,"Me siento reacio a vender, pero oye."
2957,i am really worn out today and feel beaten down,sadness,Estoy muy cansada hoy y me siento golpeada.
2958,i didnt like that she was intent on getting in between them when they were first starting to have feelings for each other but i liked how she backed off when she realized just how strongly leo felt for clara,love,"No me gustó que tuviera la intención de meterse entre ellos cuando empezaron a tener sentimientos el uno por el otro, pero me gustó cómo retrocedió cuando se dio cuenta de lo fuertemente que Leo sentía por Clara."
2959,i feel more relaxed now that i will get good care and that i need to accept advice given to me unless i feel very strongly otherwise,joy,Me siento más relajado ahora que voy a obtener un buen cuidado y que necesito aceptar consejos dados a mí a menos que me siento muy fuertemente de otra manera
2960,i feel pretty officer krupke and somewhere,joy,Me siento bonita oficial Krupke y en alguna parte
2961,i felt rich being able to insist on paying more than the asking price the shop assistant was obviously pleased at being able to boost the takings for the charity and i hope the generous person who donated the easel to the shop is also feeling rich,joy,Me sentía rico siendo capaz de insistir en pagar más que el precio de pedir el asistente de la tienda estaba obviamente satisfecho de poder impulsar las tomas para la caridad y espero que la persona generosa que donó el caballete a la tienda también se siente rico
2962,i often sat back and feel amazed when the episode was over,surprise,A menudo me senté atrás y me sentí sorprendido cuando el episodio había terminado
2963,i am feeling hmmmmm melancholy,sadness,Me siento hmmmmm melancolía
2964,i want to go in feeling eager and come out with a dazzling cert whilst on the phone with my mum feeling that at least ive made her proud,joy,Quiero entrar con ganas y salir con un cert deslumbrante mientras estoy en el teléfono con mi madre sintiendo que al menos live la hizo orgullosa.
2965,i would not have known the details i just had a feeling in my gut that i ignored,sadness,No hubiera sabido los detalles. Sólo tenía una sensación en mi instinto de que ignoré.
2966,i feel horrible because youd think id know after a mountain together,sadness,Me siento horrible porque pensarías que id sabe después de una montaña juntos
2967,i feel like you re important to me,joy,Me siento como si fueras importante para mí.
2968,im feeling a little bit embarrassed about the serious lapse in blogging but ive had an extremely busy past few months trying to finish new work in time for the toronto outdoor show as well as a number of other exhibitions,sadness,"me siento un poco avergonzado por el grave lapso en los blogs, pero ive tuvo un extremadamente ocupado los últimos meses tratando de terminar un nuevo trabajo a tiempo para el espectáculo al aire libre de Toronto, así como una serie de otras exposiciones"
2969,i am by no means complete spiritually or intellectually and believe you never should be however i find myself sometimes looking on others with a knowledge and sense of feeling superior in feeling that i am further along my journey than them,joy,No soy de ninguna manera completa espiritual o intelectualmente y creo que nunca deberías ser sin embargo me encuentro a veces mirando a los demás con un conocimiento y sentido de sentirse superior en la sensación de que estoy más a lo largo de mi viaje que ellos
2970,i do not write in search of praise or recognition but it is an amazing feeling to be read and admired,joy,"No escribo en busca de alabanza o reconocimiento, pero es una sensación increíble para ser leído y admirado"
2971,i dont show my insecurity in my persona if not i might come off as a mad bitch whod practically hated on everyone just because shes feeling insecured and being too overly paranoid,fear,Yo no muestro mi inseguridad en mi persona si no puedo parecer una perra loca que prácticamente odiaba a todo el mundo sólo porque se siente insegura y siendo demasiado paranoica
2972,i feel burdened by it,sadness,Me siento agobiado por ello.
2973,i often feel lonely,sadness,A menudo me siento sola.
2974,i feel shame on the dirty parties it should be a fair fight when we let foreign workers decide for our future and the international knows it sorry but malaysia will be like those third world countries soon,sadness,"Siento vergüenza por los partidos sucios que debería ser una lucha justa cuando dejamos que los trabajadores extranjeros decidan por nuestro futuro y el internacional lo sabe lo siento, pero Malasia será como esos países del tercer mundo pronto"
2975,im really really sad that i missed the menswear show because i feel like its worth supporting this venture to show more menswear,joy,realmente muy triste que me perdí el show de ropa de hombre porque me siento como si vale la pena apoyar esta aventura para mostrar más ropa de hombre
2976,i remember sitting in class actually feeling eager to learn a amp p,joy,Recuerdo estar sentado en clase sintiéndome ansioso por aprender un amplificador.
2977,i hate the feeling that i am a pathetic loser that can do nothing right,sadness,Odio la sensación de que soy un perdedor patético que no puede hacer nada bien
2978,there was joy in me when i heard that i was to take a course as a medical assistant,joy,Había alegría en mí cuando escuché que iba a tomar un curso como asistente médico
2979,i really want to share the chance for you to win too because i feel passionate about the subject,joy,Realmente quiero compartir la oportunidad de que ganes también porque me apasiona el tema.
2980,i will review the film after this blog entry but for now as i have david sitting here in my garden feeling slightly smug after just discovering his film had been shortlisted for best film out of entries,joy,"Voy a revisar la película después de esta entrada de blog, pero por ahora como tengo David sentado aquí en mi jardín se siente un poco engreído después de descubrir su película había sido preseleccionado para la mejor película fuera de las entradas"
2981,i just feel so appreciative,joy,Me siento tan agradecido.
2982,i feeling boring,sadness,Me siento aburrido.
2983,i feel truly blessed to have had the opportunity to participate in review groups and i have enjoyed trying out these products and giving you my honest opinion,love,Me siento realmente bendecido de haber tenido la oportunidad de participar en grupos de evaluación y he disfrutado probar estos productos y darle mi opinión honesta
2984,i look at your kids i feel jealous sure,anger,Miro a tus hijos. Me siento celoso.
2985,i feel so honored to call rex dingler a friend,joy,Me siento tan honrado de llamar a Rex Dinger un amigo.
2986,i kiss your lips i feel sweet,love,Beso tus labios Me siento dulce
2987,i feel hopeless and i realize i have met none of those goals,sadness,Me siento sin esperanza y me doy cuenta de que no he cumplido ninguno de esos objetivos
2988,i feel cute i feel good,joy,"Me siento lindo, me siento bien."
2989,i feel that we are heading for an abyss that has been created by the greedy the too greedy and the far too greedy,anger,Creo que nos dirigimos a un abismo que ha sido creado por el codicioso el demasiado codicioso y el demasiado codicioso
2990,i feel disheartened and frustrated by the experience,sadness,Me siento descorazonada y frustrada por la experiencia
2991,i am going to post my training schedule for the next several months right here so i can refer easily to it or if anyone feel like supporting me and joining me in this,joy,Voy a publicar mi programa de entrenamiento para los próximos meses aquí para que pueda referirme fácilmente a él o si alguien tiene ganas de apoyarme y unirse a mí en este
2992,i also feel amazed happy fortunate and extremely blessed,surprise,También me siento sorprendido feliz afortunado y extremadamente bendecido
2993,i do feel insecure because if there was a way to examine boyfriends he d be exempted,fear,Me siento inseguro porque si hubiera una manera de examinar novios él estaría exento.
2994,i feel it in every cell of my being god really really loves him intensely and is being faithful in fulfilling all his promises to him to us as he is also doing for you and yours,love,Lo siento en cada célula de mi ser Dios realmente lo ama intensamente y es ser fiel en el cumplimiento de todas sus promesas a él a nosotros como él también está haciendo por usted y el suyo
2995,i think she apologizes for a little too much stuff that s not in her control i get the feeling she was sincere about this one,joy,Creo que se disculpa por demasiadas cosas que no están en su control. Tengo la sensación de que era sincera sobre esta.
2996,i feel smart telling people i like wally lamb because hes actually not chick lit so i always mention him so people will respect me more,joy,Me siento inteligente diciéndole a la gente que me gusta el cordero Wally porque en realidad no es una chica iluminada así que siempre lo menciono para que la gente me respete más
2997,i really cannot do anything can i how does it feel to have such a dumb a daughter,sadness,Realmente no puedo hacer nada. ¿Cómo se siente tener una hija tan tonta?
2998,i began to feel a bit irritable and antsy,anger,Comencé a sentirme un poco irritable y ansioso.
2999,i see my favorite person suffer and there is nothing i can do to take the pain away i feel useless,sadness,Veo a mi persona favorita sufrir y no hay nada que pueda hacer para quitarme el dolor me siento inútil
3000,i not seeing and feeling the divine,joy,No veo y siento lo divino
3001,i feel fucking pathetic and desperate for your hello,sadness,Me siento jodidamente patético y desesperado por tu saludo.
3002,i do buy synthetic pearls when i feel the need to and i use these for some of my more elegant jewelry and trinkets,joy,Compro perlas sintéticas cuando siento la necesidad y las uso para algunas de mis joyas y baratijas más elegantes
3003,ive been feeling restless inside and i dont understand why,fear,He estado sintiéndome inquieto por dentro y no entiendo por qué
3004,i did feel unsure about it but thanks to l a lot of people liked it,fear,"Me sentí inseguro al respecto, pero gracias a mí a mucha gente le gustó."
3005,i was feeling rather self satisfied that my teen daughter and i were facebook friends,joy,Me sentía bastante satisfecho de que mi hija adolescente y yo fuéramos amigos de facebook.
3006,im shocked i feel my own little problems put into perspective and i feel heartache for the innocent lives that have been ended,joy,Im sorprendido siento mis propios pequeños problemas puestos en perspectiva y siento dolor por las vidas inocentes que se han terminado
3007,i feel so insecure about my writing,fear,Me siento tan inseguro sobre mi escritura
3008,i also feel that i am often a burden and in the way more than anything as a nursing student to the other nurses yet i must remember that while some may be grumpy at our presence everyone has to learn somewhere and boo friggety hoo if some medical personnel are irritated by the nursing students,anger,"También siento que a menudo soy una carga y en el camino más que nada como estudiante de enfermería a las otras enfermeras, sin embargo, debo recordar que mientras que algunos pueden ser gruñones en nuestra presencia todos tienen que aprender en algún lugar y boo friggety hoo si algún personal médico son irritados por los estudiantes de enfermería"
3009,i feel a little bit brave,joy,Me siento un poco valiente.
3010,i often refer to myself as being weak im not sure what i mean exactly when i say it but i do know that when i reflect on the past two years i feel strong strong and accomplished,joy,A menudo me refiero a mí mismo como ser débil no estoy seguro de lo que quiero decir exactamente cuando lo digo pero sé que cuando reflexiono sobre los últimos dos años me siento fuerte fuerte y logrado
3011,i still feel like i look messy and its no use to try to change it,sadness,Todavía siento que me veo desordenado y no sirve de nada tratar de cambiarlo.
3012,i know he needs space to deal with things but i am left suddenly feeling even more helpless and alone,sadness,"Sé que necesita espacio para lidiar con las cosas, pero de repente me siento aún más indefenso y solo."
3013,i am for the first time this year feeling the cold,anger,Estoy por primera vez este año sintiendo el frío
3014,i feel hopeless right,sadness,Me siento desesperanzada.
3015,i feel as though i am living on an island as i put the delicious moisturiser on a sample which is lasting a very very long time used twice a day and the rest of the products are so gentle yet cleansing and moisturising,joy,Me siento como si estoy viviendo en una isla como pongo la deliciosa crema hidratante en una muestra que dura un tiempo muy muy largo utilizado dos veces al día y el resto de los productos son tan suaves pero la limpieza y la hidratación
3016,i feel more like the girl i was when i was at i was fearless excited for life and discovery,joy,Me siento más como la chica que era cuando estaba en que era valiente emocionado por la vida y el descubrimiento
3017,i have a feeling might have offended one of the dorks sitting in the censorship cubicle of doom,anger,Tengo la sensación de que podría haber ofendido a uno de los idiotas sentados en el cubículo de censura de la perdición
3018,i can break myself out of having this dream as it leaves me feeling groggy and disoriented and i dont like it,sadness,Puedo librarme de este sueño ya que me deja aturdido y desorientado y no me gusta.
3019,i nodded proud of my decision to procure a pump feeling slightly smug,joy,Asintí orgulloso de mi decisión de conseguir una bomba sintiéndose un poco engreído
3020,i feel ecstatic because no more homework,joy,Me siento extasiado porque no más tareas.
3021,i wanted to really love this book social thought provoking personal histories are just my thing but i left feeling disappointed by this one,sadness,"Quería realmente amar este libro pensamiento social provocar historias personales son sólo mi cosa, pero me fui sintiéndose decepcionado por este"
3022,i went to registration passed an uneventful five minutes feeling deeply amused,joy,Fui a la inscripción y pasé cinco minutos sin problemas sintiéndome profundamente entretenido.
3023,i feel charmed to see my harder plan and adherence appear to accomplishment now and in august if we will attempt for an olympic medal,joy,Me siento encantado de ver mi plan más difícil y la adhesión parecen a la realización ahora y en agosto si vamos a tratar de una medalla olímpica
3024,i feel a despairing sadness because after so much time working on this we have to cut ties,sadness,Siento una tristeza desesperada porque después de tanto tiempo trabajando en esto tenemos que cortar lazos
3025,i have an overwhelming feeling of sadness that there are people in this world that are so hateful,anger,Tengo un sentimiento abrumador de tristeza de que hay gente en este mundo que es tan odiosa
3026,i arrived at the gym she was such a ball of sunshine and made me feel very welcomed at the gym although i felt like a dorky unfit rotund sloth that did not fit in with the environment of buffed fit looking and fierce looking bloke,joy,Llegué al gimnasio ella era una bola de sol y me hizo sentir muy bienvenida en el gimnasio aunque me sentí como un tonto perezoso rotund no apto que no encajaba con el ambiente de ajuste buffed mirada y feroz mirada tipo
3027,i feel too rushed,anger,Me siento demasiado apresurada.
3028,i can feel his impatient and i can t stop my body from giving him positive response,anger,Puedo sentir su impaciencia y no puedo detener mi cuerpo de darle una respuesta positiva
3029,i have been having bad dreams really weird dreams that make me feel like i got no sleep at all and with completely disturbed thoughts,sadness,He estado teniendo pesadillas sueños muy raros que me hacen sentir como si no tuviera sueño en absoluto y con pensamientos completamente perturbados
3030,i feel pressured helpless because i dont have control over this,fear,Me siento presionado impotente porque no tengo control sobre esto.
3031,i woke up feeling dazed and confused,surprise,Me desperté sintiéndome aturdida y confundida.
3032,im done with putting up with this constant bullying because that is what it is when you feel threatened and constantly on the defensive and i am tired of constantly defending myself to others,fear,Estoy harto de soportar este acoso constante porque eso es lo que es cuando te sientes amenazado y constantemente a la defensiva y estoy cansado de defenderme constantemente a los demás
3033,i is an extremely positive feeling a divine energy who alone can take our quaking boat to the shore,joy,i es un sentimiento extremadamente positivo una energía divina que solo puede tomar nuestro temblante barco a la orilla
3034,ive been feeling all listless this two days,sadness,He estado sintiéndome muy triste estos dos días.
3035,im feeling a little stressed,sadness,Me siento un poco estresado.
3036,i feel cute because the tune of the song days of christmas played on my mind pia again almost my best friend because were going out like everyday and i can share to her almost everything and we understand together and i went out,joy,Me siento lindo porque la melodía de la canción días de Navidad tocó en mi mente pia de nuevo casi mi mejor amigo porque salían como todos los días y puedo compartir con ella casi todo y entendemos juntos y salí
3037,i feel like i have suddenly lost a limb in a tragic accident,sadness,Siento que de repente he perdido una extremidad en un trágico accidente.
3038,i think that when we say i feel so alone in this or i feel like i am facing this all alone we dont really mean what we say,sadness,Creo que cuando decimos que me siento tan solo en esto o siento que me estoy enfrentando a esto solo realmente no significa lo que decimos
3039,i feel like im having something really naughty like dessert for breakfast,love,Me siento como si tuviera algo muy travieso como el postre para el desayuno.
3040,i feel shaken or angry that my husband keeps lying to me and is a sexaholic i often start to feel mad at god,fear,Me siento sacudido o enojado porque mi marido me sigue mintiendo y es un sexaholic a menudo empiezo a sentirme enojado con Dios
3041,i don t want any of you to feel left out i am offering a discount on my tea totes to you my beloved readers beginning today through april th,love,No quiero que ninguno de ustedes se sienta excluido. Estoy ofreciendo un descuento en mi té.
3042,i also feel fearful and concerned for them both worried,fear,También me siento temeroso y preocupado por ellos.
3043,ive sat there and wondered why a guy i liked hasnt texted me calling is not really my thing it makes me feel too awkward or why when he seems all efforts to the contrary he wont take a chance on me as his girlfriend,sadness,Vive se sentó allí y se preguntó por qué un tipo me gustó hasnt me envió un mensaje llamando no es realmente mi cosa me hace sentir demasiado incómodo o por qué cuando parece que todos los esfuerzos al contrario que no tomar una oportunidad en mí como su novia
3044,i feel fine which is good enough on a sunday evening,joy,Me siento bien lo cual es lo suficientemente bueno en una noche de domingo
3045,i do not see or feel the need to respond to any of your ludicrous questions concerning anything,sadness,No veo ni siento la necesidad de responder a ninguna de sus ridículas preguntas con respecto a nada
3046,i saw nothing on the dining room table had moved i think im starting to feel its safe to come out again,joy,No vi nada en la mesa del comedor se había movido. Creo que estoy empezando a sentir que es seguro salir de nuevo.
3047,i feel a bit disillusioned about men as a whole population,sadness,Me siento un poco desilusionado con los hombres como una población entera
3048,im meant to feel longing,love,Se supone que tengo ganas de sentir
3049,i try to remember that quote when i feel i may be hitting a wall in a marathon or even a training run and i know it is time to find that perfect song that fuel,joy,Trato de recordar esa cita cuando siento que puedo estar golpeando una pared en una maratón o incluso una carrera de entrenamiento y sé que es hora de encontrar esa canción perfecta que combustible
3050,i feel there isnt much meat but yoshidas perspective grows ever tragic,sadness,Siento que no hay mucha carne pero la perspectiva de los yoshidas se vuelve trágica.
3051,i have mishandled things alongside the rest and im feeling remorseful about it right now as opposed to my very initial reaction of not wanting to care because maybe somewhere deep down in me im hoping things might be like before,sadness,He manejado mal las cosas al lado del resto y me siento arrepentido por ello en este momento en lugar de mi reacción inicial de no querer importarme porque tal vez en algún lugar en lo más profundo de mí espero que las cosas podrían ser como antes
3052,i was actually starting to feel pretty cranky about the situation and was avoiding a lot of phone calls because i really just didnt want to talk to anyone about being late,anger,Estaba empezando a sentirme bastante malhumorado por la situación y estaba evitando muchas llamadas telefónicas porque realmente no quería hablar con nadie sobre llegar tarde.
3053,i have begun to feel as though i have valuable contributions and insights to make within a network of professionals,joy,He comenzado a sentir como si tengo valiosas contribuciones y conocimientos para hacer dentro de una red de profesionales
3054,i guess ive been feeling agitated lately,anger,Supongo que últimamente se ha sentido agitado.
3055,im lying in bed feeling very anxious and have a knot in my stomach,fear,Me acosté en la cama sintiendo mucha ansiedad y tengo un nudo en el estómago
3056,i feel low confidence sometimes,sadness,A veces siento poca confianza.
3057,i know every baby is different but i feel like ive already exhausted pun intended my bag of tricks,sadness,Sé que cada bebé es diferente pero me siento como si ya exhausto juego de palabras tenía la intención de mi bolsa de trucos
3058,i feel discouraged when being peter varvel isnt good enough i put on a persona someone who inspires me whether theyre real or imagined,sadness,Me siento desanimado al ser Peter Varvel no es lo suficientemente bueno como para ponerme una persona que me inspira si son reales o imaginadas.
3059,i get the feeling you may think this is an attraction thing on his part as long as you are faithful to your husband and friend there should be no problems,love,"Tengo la sensación de que usted puede pensar que esto es una cosa de atracción de su parte, siempre y cuando usted es fiel a su marido y amigo no debe haber problemas"
3060,i feel eager to tell my parents,joy,Me siento ansioso por decirle a mis padres
3061,i was feeling very keen to get out of the camp site before they realised i had been given the best gift of all free accommodation and free services,joy,Me sentía muy interesado en salir del campamento antes de que se dieran cuenta de que me habían dado el mejor regalo de todos los alojamientos y servicios gratuitos.
3062,i still feel guilty for being a christian with depression,sadness,Todavía me siento culpable por ser cristiano con depresión
3063,i don t like the idea that women in the entertainment industry especially in pop music may feel pressured to turn themselves into hypersexual tartlets but i get the feeling that rihanna isn t being provocative because she feels she has to,fear,"No me gusta la idea de que las mujeres en la industria del entretenimiento especialmente en la música pop pueden sentirse presionadas para convertirse en tartas hipersexuales, pero tengo la sensación de que rihanna no está siendo provocadora porque siente que tiene que"
3064,i don t feel like i lost too much fitness during my three weeks off either,sadness,No siento que haya perdido demasiado estado físico durante mis tres semanas de descanso.
3065,i feel really bitter,anger,Me siento muy amargada.
3066,i don t feel so exhausted all the time,sadness,No me siento tan exhausta todo el tiempo.
3067,i get through it pretty quickly but it just makes me feel like im not being respected,joy,Lo atravieso muy rápido pero me hace sentir como si no me respetaran.
3068,i don t feel respect i don t feel admiration and i don t feel an entirely romantic tone,love,"No siento respeto, no siento admiración y no siento un tono completamente romántico."
3069,i feel like we owe it to each other to be intelligent about our sexual decisions,joy,Siento que nos debemos el uno al otro ser inteligentes sobre nuestras decisiones sexuales.
3070,i still feel brave when i walk into the saudi perfume scented terminal at dulles where my flight will leave from in an hour,joy,Todavía me siento valiente cuando entro en la terminal perfumada de perfume saudí en embotes donde mi vuelo partirá en una hora.
3071,a boyfriend with whom i split up with came over to a friends house where i was visiting with a male friend in a confrontation in another room he tried to find out if i was aroused by my friend by feeling my parts,anger,Un novio con el que me separé vino a una casa de amigos donde estaba visitando a un amigo en una confrontación en otra habitación trató de averiguar si me excitaba mi amigo sintiendo mis partes
3072,i love gives me a great feeling of contented accomplishment,joy,I love me da una gran sensación de satisfacción
3073,i have had since july st i am feeling shaken knowing i will be homeless in two months and as close to a home that i have is gone,fear,He tenido desde julio que me siento sacudido sabiendo que voy a estar sin hogar en dos meses y tan cerca de una casa que he ido
3074,i can live out my values instead of just being crushed by debt feeling rejected and feeling empty,sadness,Puedo vivir mis valores en lugar de ser aplastado por la deuda sintiéndome rechazado y sintiéndome vacío.
3075,i feel thank you everyone for the amazing thoughts and prayers,joy,Siento gracias a todos por los increíbles pensamientos y oraciones
3076,ive had a rather average career because i decided to work less to earn less no rolex anywhere to be seen but have managed to write and even publish some of the short story collections and novels i have in my mind and on my drafts today i will feel successful,joy,He tenido una carrera bastante media porque he decidido trabajar menos para ganar menos ningún rolex en cualquier lugar para ser visto pero he logrado escribir e incluso publicar algunas de las colecciones de cuentos y novelas que tengo en mi mente y en mis borradores hoy me sentiré exitoso
3077,im feeling frantic about time as if the whole summer were a giant hour glass and if im not vigilant all the sand is going to rush out in a whoosh and ill have dipshit to show for it,fear,me siento frenético en el tiempo como si todo el verano fuera un vaso gigante de la hora y si no estoy vigilante toda la arena va a salir corriendo en un whoosh y mal tener dipshit para mostrar para ello
3078,i feel offended and sad because they do not know their ignorance,anger,Me siento ofendido y triste porque no conocen su ignorancia
3079,i kind of feel fearful of starting,fear,Me da miedo empezar.
3080,i kept my laptop close searching for jobs that i could build a career out of and looking for those all important christmas recipes to make this year feel a little more special,joy,He mantenido mi portátil cerca de la búsqueda de trabajos que podría construir una carrera fuera de y en busca de esas recetas importantes de Navidad para hacer que este año se sienta un poco más especial
3081,i am merely a man who will feel humiliated whenever i am intimidated by you,sadness,Soy simplemente un hombre que se sentirá humillado cada vez que estoy intimidado por ti
3082,i no longer feel like a pathetic sad fat girl who cant eat nachos every day,sadness,Ya no me siento como una patética chica gorda triste que no puede comer nachos todos los días
3083,i am if i go back to the hostel for a break i feel anxious to get back out and see more and more take it all in,fear,Lo soy si vuelvo al albergue para un descanso me siento ansioso por volver a salir y ver más y más tomarlo todo en
3084,i feel that people are a shamed of me,sadness,Siento que la gente es una vergüenza de mí
3085,i hit a certain point in the middle and something was revealed that left me feeling so overwhelmingly devastated that i had to set the book down and walk away for a while,sadness,Golpeé un cierto punto en el medio y algo fue revelado que me dejó tan abrumadoramente devastado que tuve que dejar el libro y marcharme por un tiempo.
3086,i feel i had benefited more from last year s creative futures but could this be in part that the information i had learnt last year i was already putting into practice and therefore this year s sessions were what i was already doing rather than inspiring me to start,joy,"Creo que me había beneficiado más de los futuros creativos del año pasado, pero esto podría ser en parte que la información que había aprendido el año pasado ya estaba poniendo en práctica y por lo tanto las sesiones de este año eran lo que ya estaba haciendo en lugar de inspirarme a empezar"
3087,i pick up the cards i feel a shiver go up my spine and i just feel so curious,surprise,Recojo las cartas siento un escalofrío subir por mi columna y me siento tan curioso
3088,i know just how you feel any ache pain in tummy i get frightened incase it em again,fear,Sé cómo te duele el dolor en la barriga. Me da miedo en caso de que vuelva a ocurrir.
3089,i do for a living and lately more often than not both me and my wife who s also an ubuntu user have been feeling a bit uncertain about linux being the platform where we want to keep working,fear,Me gano la vida y últimamente más a menudo que no tanto yo y mi esposa que es también un usuario ubuntu han estado sintiéndose un poco incierto acerca de linux ser la plataforma donde queremos seguir trabajando
3090,im not convinced that it all makes since because the talking never feels sincere in its execution and maybe the themes in life seem to large to ever fathom but what s the point when it already feels like an emotionless pit of self craving attention,joy,"no estoy convencido de que todo lo hace ya que porque el hablar nunca se siente sincero en su ejecución y tal vez los temas en la vida parecen ser grandes para comprender siempre, pero lo que es el punto cuando ya se siente como un hoyo sin emociones de auto antojo de atención"
3091,i feel it aching in my chest,sadness,Siento dolor en mi pecho.
3092,i feel content with it all,joy,Me siento contento con todo.
3093,im just feeling bashful whenever i talk to you,fear,Me siento tímido cada vez que hablo contigo.
3094,i feel as dirty as fuck,sadness,Me siento tan sucio como la mierda
3095,i decided that since things were finally starting to go well but i was still feeling a little uncertain i d give myself a little more time to let the training come together,fear,"Decidí que ya que las cosas finalmente estaban empezando a ir bien, pero todavía me sentía un poco incierta, me daría un poco más de tiempo para dejar que el entrenamiento se uniera."
3096,i think this will help somebody out there that feels hopeless and alone,sadness,Creo que esto ayudará a alguien que se siente desesperado y solo.
3097,i began to feel agitated because i wanted to buy ewan some food and medicine before i left,anger,Comencé a sentirme agitado porque quería comprar comida y medicinas a Ewan antes de irme.
3098,im feeling more relaxed,joy,Me siento más relajado.
3099,i do not do these things to torture you i am feeling tortured myself at the moment,anger,No hago estas cosas para torturarte me siento torturada por mí misma en este momento.
3100,i strongly feel that at this point in my life i am no longer desiring to walk this path that i am on and to be truthful i have no clue as to where i am going with my life from here,joy,"Siento fuertemente que en este punto de mi vida ya no estoy deseando seguir este camino en el que estoy y ser sincero, no tengo ni idea de a dónde voy con mi vida desde aquí."
3101,i fully believe and feel passionate about living bravely and outside my comfort zone i often revert to my comfortable ways,love,Creo plenamente y me siento apasionado por vivir valientemente y fuera de mi zona de confort a menudo vuelvo a mis maneras cómodas
3102,i feel very romantic now all i have left to try out is barry m almond from the same range,love,Me siento muy romántico ahora todo lo que me queda para probar es barry m almendra de la misma gama
3103,i have been feeling really creative and have been trying out new things,joy,Me he estado sintiendo muy creativo y he estado probando cosas nuevas
3104,i press play and yeah i watch my movie about five times in a row right then and there i feel satisfied and cant wait to share what i made with my friends,joy,Presiono el juego y sí veo mi película cinco veces seguidas en ese momento y allí me siento satisfecho y no puedo esperar a compartir lo que hice con mis amigos
3105,i sometimes feel like an artistic redcoat,joy,A veces me siento como una chaqueta roja artística.
3106,i have finished college had a couple kids worked through feeling entirely discouraged because of a camera that did not have the functions i wanted then feeling like i just couldnt do a decent job taking pictures i have decided to give it another try,sadness,He terminado la universidad tenía un par de niños trabajado a través de sentirse completamente desanimado debido a una cámara que no tenía las funciones que quería entonces sentir como si no podía hacer un trabajo decente tomando fotos he decidido darle otro intento
